Date,Close
02/01/2018,56.74
03/01/2018,55.69
04/01/2018,55.69
05/01/2018,55.97
08/01/2018,54.68
09/01/2018,54.17
10/01/2018,55.86
11/01/2018,58.52
12/01/2018,59.83
16/01/2018,59.35
17/01/2018,59.72
18/01/2018,59.45
19/01/2018,60.01
22/01/2018,60.13
23/01/2018,59.93
24/01/2018,56.8
25/01/2018,54.81
26/01/2018,55.26
29/01/2018,55.76
30/01/2018,56.12
31/01/2018,56.77
01/02/2018,56.42
02/02/2018,54.62
05/02/2018,52.52
06/02/2018,53.1
07/02/2018,53.85
08/02/2018,51.23
09/02/2018,50.46
12/02/2018,52.05
13/02/2018,52.17
14/02/2018,52.2
15/02/2018,52.95
16/02/2018,52.85
20/02/2018,52.47
21/02/2018,53.16
22/02/2018,52.55
23/02/2018,53.46
26/02/2018,54.69
27/02/2018,53.62
28/02/2018,53.9
01/03/2018,53.35
02/03/2018,53.26
05/03/2018,53.79
06/03/2018,53.84
07/03/2018,53.53
08/03/2018,54.64
09/03/2018,56.09
12/03/2018,56.16
13/03/2018,56.59
14/03/2018,56.15
15/03/2018,56.34
16/03/2018,56.69
19/03/2018,55.96
20/03/2018,56.5
21/03/2018,55.95
22/03/2018,54.67
23/03/2018,53.9
26/03/2018,55.06
27/03/2018,54.26
28/03/2018,53.93
29/03/2018,54.81
02/04/2018,51.95
03/04/2018,53.72
04/04/2018,53.86
05/04/2018,54.21
06/04/2018,53.05
09/04/2018,52.56
10/04/2018,52.36
11/04/2018,51.47
12/04/2018,52.98
13/04/2018,52.92
16/04/2018,54.3
17/04/2018,54.55
18/04/2018,55.21
19/04/2018,55.07
20/04/2018,55.4
23/04/2018,54.61
24/04/2018,53.81
25/04/2018,54.65
26/04/2018,53.13
27/04/2018,53.5
30/04/2018,52.22
01/05/2018,52.74
02/05/2018,52.36
03/05/2018,51.79
04/05/2018,52.34
07/05/2018,51.9
08/05/2018,52.37
09/05/2018,51.62
10/05/2018,52.06
11/05/2018,52.9
14/05/2018,52.09
15/05/2018,52.37
16/05/2018,53.48
17/05/2018,53.1
18/05/2018,52.95
21/05/2018,53.98
22/05/2018,53.52
23/05/2018,53.4
24/05/2018,54.4
25/05/2018,55.87
29/05/2018,54.23
30/05/2018,54.31
31/05/2018,54.05
01/06/2018,54.42
04/06/2018,55.19
05/06/2018,54.67
06/06/2018,54.17
07/06/2018,53.46
08/06/2018,54.09
11/06/2018,54.89
12/06/2018,54.55
13/06/2018,54.65
14/06/2018,54.9
15/06/2018,55.18
18/06/2018,54.8
19/06/2018,53.78
20/06/2018,53.84
21/06/2018,53.73
22/06/2018,52.72
25/06/2018,51.31
26/06/2018,51.07
27/06/2018,49.89
28/06/2018,49.8
29/06/2018,49.54
02/07/2018,49.92
03/07/2018,48.78
05/07/2018,49.26
06/07/2018,49.58
09/07/2018,50.51
10/07/2018,50.6
11/07/2018,49.84
12/07/2018,50.73
13/07/2018,50.77
16/07/2018,50.67
17/07/2018,51.14
18/07/2018,52.8
19/07/2018,53
20/07/2018,51.99
23/07/2018,52.24
24/07/2018,51.68
25/07/2018,51.66
26/07/2018,53.98
27/07/2018,54.46
30/07/2018,53.79
31/07/2018,54.42
01/08/2018,53.59
02/08/2018,53.91
03/08/2018,54.26
06/08/2018,54.42
07/08/2018,54.7
08/08/2018,55.23
09/08/2018,55.34
10/08/2018,54.71
13/08/2018,54.22
14/08/2018,54.76
15/08/2018,55.23
16/08/2018,55.45
17/08/2018,55.65
20/08/2018,57.42
21/08/2018,57.6
22/08/2018,56.91
23/08/2018,56.94
24/08/2018,57.18
27/08/2018,57.75
28/08/2018,58.79
29/08/2018,58.52
